Id	Label	NodeType	Community_Lvl_0	Community_Lvl_1	Community_Lvl_2	Infered_Community_Name_Lvl_0	Infered_Community_Name_Lvl_1	Infered_Community_Name_Lvl_2
Founder and Ceo__s	Founder and Ceo	2.0	6	6.6	6.6.15	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
Sectors Manger__s	Sectors Manger	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Dealer__s	Dealer	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Legal__s	Legal	2.0	2	2.9	2.9.18	21___Science and engineering professionals	24___Business and administration professionals	24___Business and administration professionals
Mother of 5 boys and dedicated wife__s	Mother of 5 boys and dedicated wife	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Crooner An'm show event..__s	Crooner An'm show event..	2.0	4	4.4	4.4.26	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
RAF__s	RAF	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Owner at Aku Studio__s	Owner at Aku Studio	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
IM manager__s	IM manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Management Information Analyst__s	Management Information Analyst	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Fitcline__s	Fitcline	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
overseas agent__s	overseas agent	2.0	6	6.6	6.6.15	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
SQA__s	SQA	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Acoount Manager__s	Acoount Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Director Comercial__s	Director Comercial	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
TV Channel Technical Relationship Manager__s	TV Channel Technical Relationship Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Industry Professional__s	Industry Professional	2.0	2	2.2	2.2.13	21___Science and engineering professionals	21___Science and engineering professionals	31___Science and engineering associate professionals
ing__s	ing	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Senior Bid Manager__s	Senior Bid Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Assistant Marketing Analyst__s	Assistant Marketing Analyst	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Head of IT__s	Head of IT	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
INGINEER__s	INGINEER	2.0	2	2.2	2.2.3	21___Science and engineering professionals	21___Science and engineering professionals	311___Physical and engineering science technicians
Technical Writer__s	Technical Writer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
AVP Analyst__s	AVP Analyst	2.0	2	2.9	2.9.18	21___Science and engineering professionals	24___Business and administration professionals	24___Business and administration professionals
Scuba diving instructor__s	Scuba diving instructor	2.0	0	0.0	0.0.58	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Boss__s	Boss	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
International Medical Manager__s	International Medical Manager	2.0	6	6.6	6.6.15	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
PAINTER AND SCULPTOR__s	PAINTER AND SCULPTOR	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Editorial Manager__s	Editorial Manager	2.0	4	4.4	4.4.5	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
artisan photographe__s	artisan photographe	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Senior analyst programmer__s	Senior analyst programmer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
customer satisfactory officer__s	customer satisfactory officer	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Professional Athlete__s	Professional Athlete	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Alumni Coordinator__s	Alumni Coordinator	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
missionary__s	missionary	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
South-West Branch Manager__s	South-West Branch Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Deputy Director Territories and destinations__s	Deputy Director Territories and destinations	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Human Ressources Manager__s	Human Ressources Manager	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
sensory specialist__s	sensory specialist	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Nursing Director__s	Nursing Director	2.0	6	6.6	6.6.11	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
In charge of partnerships__s	In charge of partnerships	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Senior System Architect__s	Senior System Architect	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
SAP Global Program Manager__s	SAP Global Program Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Intern at Attijariwafa Bank's trading room__s	Intern at Attijariwafa Bank's trading room	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Sourcing Director__s	Sourcing Director	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Director of Admissions__s	Director of Admissions	2.0	4	4.4	4.4.5	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Project Manager for Software Support__s	Project Manager for Software Support	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Business Finance director EMEA__s	Business Finance director EMEA	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
In-Call__s	In-Call	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Plastic Artist__s	Plastic Artist	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
3D Modeler__s	3D Modeler	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Expert thermicien__s	Expert thermicien	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Pilates Instructor__s	Pilates Instructor	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
VP Sales and Marketing__s	VP Sales and Marketing	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Senior Quality Manager__s	Senior Quality Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Dance Movement Therapist__s	Dance Movement Therapist	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Software Engineer Internship__s	Software Engineer Internship	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
WCM Snr Manager__s	WCM Snr Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Engineering Assistant__s	Engineering Assistant	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Artist and Director__s	Artist and Director	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
FEA mechanical engineer__s	FEA mechanical engineer	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
IAM Enterprise Architect__s	IAM Enterprise Architect	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Technical Service Manager__s	Technical Service Manager	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Electrical manager__s	Electrical manager	2.0	2	2.2	2.2.3	21___Science and engineering professionals	21___Science and engineering professionals	311___Physical and engineering science technicians
INCORE INSTRUMENTATION SYSTEMS SALES ENGINEER__s	INCORE INSTRUMENTATION SYSTEMS SALES ENGINEER	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Head of CE Financial Planning and Analysis__s	Head of CE Financial Planning and Analysis	2.0	2	2.9	2.9.18	21___Science and engineering professionals	24___Business and administration professionals	24___Business and administration professionals
NORDIC BUSINESS UNIT MANAGER__s	NORDIC BUSINESS UNIT MANAGER	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Professor__s	Professor	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
PDEng trainee__s	PDEng trainee	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
COMMERCIAL EXPORT__s	COMMERCIAL EXPORT	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
MD PHD Ass Prof__s	MD PHD Ass Prof	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Security Expert__s	Security Expert	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Head of Civil Society Division__s	Head of Civil Society Division	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Engineering Rationalisation Manager__s	Engineering Rationalisation Manager	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
ACCOUNT MANAGER GRAND COMPTE__s	ACCOUNT MANAGER GRAND COMPTE	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Software engineer II__s	Software engineer II	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Freelance Creative__s	Freelance Creative	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Human Factor Consultant__s	Human Factor Consultant	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Ski designer Rip'nWud Skis__s	Ski designer Rip'nWud Skis	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Doctor of Education (Special Needs)__s	Doctor of Education (Special Needs)	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
OWNER AND MANAGER__s	OWNER AND MANAGER	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
comedian__s	comedian	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Posdoctoral__s	Posdoctoral	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Artiste calligraphe__s	Artiste calligraphe	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
General Manager of Human Ressources__s	General Manager of Human Ressources	2.0	2	2.9	2.9.19	21___Science and engineering professionals	24___Business and administration professionals	24___Business and administration professionals
English Language Instructor__s	English Language Instructor	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Internship in a lawyer's office__s	Internship in a lawyer's office	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Psychotherapeutin__s	Psychotherapeutin	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Founder and chief designer__s	Founder and chief designer	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Global Commodity Buyer__s	Global Commodity Buyer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Expert Location__s	Expert Location	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
HR Consultant IO Psychologist__s	HR Consultant IO Psychologist	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Architecte Web__s	Architecte Web	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Engineering Operations Manager__s	Engineering Operations Manager	2.0	2	2.2	2.2.3	21___Science and engineering professionals	21___Science and engineering professionals	311___Physical and engineering science technicians
Senior web consultant and developer__s	Senior web consultant and developer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Administrative Head of Collections__s	Administrative Head of Collections	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Head of Technology for AXA Fixed Income__s	Head of Technology for AXA Fixed Income	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Virtual Reality Project Manager__s	Virtual Reality Project Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Research assistant__s	Research assistant	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Lead Developer (PHP) / CTO__s	Lead Developer (PHP) / CTO	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Fashion Stylist and Designer__s	Fashion Stylist and Designer	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Operator on manufacturing line__s	Operator on manufacturing line	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Pipelay Systems Operator__s	Pipelay Systems Operator	2.0	0	0.0	0.0.27	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Technical Engineer__s	Technical Engineer	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Credit Analyst__s	Credit Analyst	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
IT Support Coordinator__s	IT Support Coordinator	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Association sportive et educative__s	Association sportive et educative	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Ground Agent__s	Ground Agent	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
cmo__s	cmo	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Physicist at CERN__s	Physicist at CERN	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
INTERNATIONAL MERCHANDISING MANAGER__s	INTERNATIONAL MERCHANDISING MANAGER	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Senior Member of Consuting Staff__s	Senior Member of Consuting Staff	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Night Manager__s	Night Manager	2.0	0	0.0	0.0.1	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
European Technical Coordinator__s	European Technical Coordinator	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Software Function Responsible__s	Software Function Responsible	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Field based account manager__s	Field based account manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
European Operations Manager__s	European Operations Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Human Formation Internship__s	Human Formation Internship	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Microsoft Dynamics Marketing Lead__s	Microsoft Dynamics Marketing Lead	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Medical-Technical Freelance Translator__s	Medical-Technical Freelance Translator	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Assistante marketing international__s	Assistante marketing international	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Senior Legal Counsel__s	Senior Legal Counsel	2.0	4	4.4	4.4.5	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Deputy General Manager__s	Deputy General Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Paramedic and owner of nols equestrian centre__s	Paramedic and owner of nols equestrian centre	2.0	6	6.6	6.6.11	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
Chief Development Officer__s	Chief Development Officer	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Financial adviser for SMEs__s	Financial adviser for SMEs	2.0	4	4.4	4.4.5	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
IT spe__s	IT spe	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Product engineer__s	Product engineer	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Media Account Manager Junior__s	Media Account Manager Junior	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Full Stack Web Developer__s	Full Stack Web Developer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Assistante Service des Informations__s	Assistante Service des Informations	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Childcare Worker__s	Childcare Worker	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Author and Art Director__s	Author and Art Director	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Assistant Fund Manager__s	Assistant Fund Manager	2.0	6	6.6	6.6.11	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
Commercial Terrain Alternant__s	Commercial Terrain Alternant	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Strategic Chief Information Officer__s	Strategic Chief Information Officer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Profesor__s	Profesor	2.0	4	4.4	4.4.5	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Dean of Studies__s	Dean of Studies	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
architecte chercheur__s	architecte chercheur	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
IT Service Management Team Manager__s	IT Service Management Team Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Senior Lawyer__s	Senior Lawyer	2.0	4	4.4	4.4.5	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Founder of Magnidotter Design AB__s	Founder of Magnidotter Design AB	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Internship in Business Development__s	Internship in Business Development	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Equity Director__s	Equity Director	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Nutrition Advisor Asia__s	Nutrition Advisor Asia	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Internship Laboratory Technician__s	Internship Laboratory Technician	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
BTS EDITION__s	BTS EDITION	2.0	4	4.4	4.4.26	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Housekeeper__s	Housekeeper	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Regulatory author and document coordinator__s	Regulatory author and document coordinator	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
E-business Officer__s	E-business Officer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Country Manager Italy__s	Country Manager Italy	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Director Market Intelligence and Customer Analytics__s	Director Market Intelligence and Customer Analytics	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Microsoft Technologies Technical Consultant__s	Microsoft Technologies Technical Consultant	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Global Key Account Director__s	Global Key Account Director	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Quality Surveillance Engineer__s	Quality Surveillance Engineer	2.0	2	2.2	2.2.3	21___Science and engineering professionals	21___Science and engineering professionals	311___Physical and engineering science technicians
football player agent__s	football player agent	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Material and Welding Engineer__s	Material and Welding Engineer	2.0	2	2.2	2.2.3	21___Science and engineering professionals	21___Science and engineering professionals	311___Physical and engineering science technicians
Change leader A380__s	Change leader A380	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Area Manager__s	Area Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Executive__s	Executive	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
ETAPS__s	ETAPS	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Customer Relations__s	Customer Relations	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Technology Transfer Project Manager__s	Technology Transfer Project Manager	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Commercial Director France__s	Commercial Director France	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Designer Freelancer__s	Designer Freelancer	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Fitness Professional__s	Fitness Professional	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Provost Marshal(Army)__s	Provost Marshal(Army)	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Industrial Operations Purchasing Manager__s	Industrial Operations Purchasing Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Fund Manager__s	Fund Manager	2.0	2	2.9	2.9.18	21___Science and engineering professionals	24___Business and administration professionals	24___Business and administration professionals
relaxologue-psychosomatotherapeute-hypnotherapeute__s	relaxologue-psychosomatotherapeute-hypnotherapeute	2.0	0	0.0	0.0.1	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Infographiste 3 D__s	Infographiste 3 D	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
first mate__s	first mate	2.0	0	0.0	0.0.66	24___Business and administration professionals	24___Business and administration professionals	311___Physical and engineering science technicians
R&D Mgr for Intellectual Property__s	R&D Mgr for Intellectual Property	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
PLM and HPC domain lead__s	PLM and HPC domain lead	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Hypnotherapeute__s	Hypnotherapeute	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Freelance Motion Graphic Designer__s	Freelance Motion Graphic Designer	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Head of Relationship Management__s	Head of Relationship Management	2.0	2	2.9	2.9.18	21___Science and engineering professionals	24___Business and administration professionals	24___Business and administration professionals
team leader subsea__s	team leader subsea	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Senior Producer__s	Senior Producer	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Co Founder and CEO__s	Co Founder and CEO	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
AMF__s	AMF	2.0	4	4.4	4.4.5	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Senior Strategic Sourcer at BuyIn__s	Senior Strategic Sourcer at BuyIn	2.0	0	0.0	0.0.27	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Reporting__s	Reporting	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
telecom network expert__s	telecom network expert	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Graduate Research Intern__s	Graduate Research Intern	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Manager Healthcare__s	Manager Healthcare	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Advertising__s	Advertising	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Restructuring Manager__s	Restructuring Manager	2.0	2	2.9	2.9.21	21___Science and engineering professionals	24___Business and administration professionals	24___Business and administration professionals
IT Support Officer__s	IT Support Officer	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
