Id	Label	NodeType	Community_Lvl_0	Community_Lvl_1	Community_Lvl_2	Infered_Community_Name_Lvl_0	Infered_Community_Name_Lvl_1	Infered_Community_Name_Lvl_2
Service Availabilty Manager__s	Service Availabilty Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Franchise Operations Manager__s	Franchise Operations Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Head of HERCA Technical Secretariat__s	Head of HERCA Technical Secretariat	2.0	4	4.4	4.4.5	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Wineshop Owner__s	Wineshop Owner	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Business Affairs__s	Business Affairs	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Pitch-A-Bitch (Complaints) Manager__s	Pitch-A-Bitch (Complaints) Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Compositing__s	Compositing	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
facilitator__s	facilitator	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Jobboard__s	Jobboard	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Formatrice anglais__s	Formatrice anglais	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
DOCTOR__s	DOCTOR	2.0	6	6.6	6.6.11	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
Novellist__s	Novellist	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Senior Business Development Manager__s	Senior Business Development Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Assistance Technition__s	Assistance Technition	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Program Purchasing Manager__s	Program Purchasing Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Assistant of an heritage independant advisor__s	Assistant of an heritage independant advisor	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
MSS Project Manager__s	MSS Project Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
air traffic controler__s	air traffic controler	2.0	2	2.2	2.2.81	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
CEO at Efma__s	CEO at Efma	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
owner__s	owner	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Online Communications Associate__s	Online Communications Associate	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Hardware Electronic Engineer__s	Hardware Electronic Engineer	2.0	2	2.2	2.2.3	21___Science and engineering professionals	21___Science and engineering professionals	311___Physical and engineering science technicians
THERCAST® Product Manager__s	THERCAST® Product Manager	2.0	2	2.2	2.2.3	21___Science and engineering professionals	21___Science and engineering professionals	311___Physical and engineering science technicians
Senior Strategic Analyst__s	Senior Strategic Analyst	2.0	0	0.0	0.0.27	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
FT Account Director IP__s	FT Account Director IP	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
IBM Corporate Service Corps__s	IBM Corporate Service Corps	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
